specimenID,clade_name,relative_abundance
icNF97.2a,k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified,100
icNF97.2a,k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified|o__Ortervirales,99.42177
icNF97.2a,k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified|o__Viruses_unclassified,0.57823
icNF97.2a,k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified|o__Ortervirales|f__Retroviridae,99.42177
icNF97.2a,k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified|o__Viruses_unclassified|f__Flaviviridae,0.57823
icNF97.2a,k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified|o__Ortervirales|f__Retroviridae|g__Lentivirus,75.65819
icNF97.2a,k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified|o__Ortervirales|f__Retroviridae|g__Gammaretrovirus,19.84982
icNF97.2a,k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified|o__Ortervirales|f__Retroviridae|g__Retroviridae_unclassified,3.91377
icNF97.2a,k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified|o__Viruses_unclassified|f__Flaviviridae|g__Pestivirus,0.57823
icNF97.2a,k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified|o__Ortervirales|f__Retroviridae|g__Lentivirus|s__Human_immunodeficiency_virus_1,75.65819
icNF97.2a,k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified|o__Ortervirales|f__Retroviridae|g__Gammaretrovirus|s__Abelson_murine_leukemia_virus,14.97711
icNF97.2a,k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified|o__Ortervirales|f__Retroviridae|g__Gammaretrovirus|s__Murine_osteosarcoma_virus,4.8727
icNF97.2a,k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified|o__Ortervirales|f__Retroviridae|g__Retroviridae_unclassified|s__Human_endogenous_retrovirus_K,3.91377
icNF97.2a,k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified|o__Viruses_unclassified|f__Flaviviridae|g__Pestivirus|s__Pestivirus_Giraffe_1,0.50593
icNF97.2a,k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified|o__Viruses_unclassified|f__Flaviviridae|g__Pestivirus|s__Pestivirus_A,0.07229
cNF97.2b,k__Viruses,100
cNF97.2b,k__Viruses|p__Viruses_unclassified,100
cNF97.2b,k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified,100
cNF97.2b,k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified|o__Ortervirales,97.84884
cNF97.2b,k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified|o__Viruses_unclassified,2.15116
cNF97.2b,k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified|o__Ortervirales|f__Retroviridae,97.84884
cNF97.2b,k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified|o__Viruses_unclassified|f__Flaviviridae,2.15116
cNF97.2b,k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified|o__Ortervirales|f__Retroviridae|g__Gammaretrovirus,81.2248
cNF97.2b,k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified|o__Ortervirales|f__Retroviridae|g__Retroviridae_unclassified,15.86363
cNF97.2b,k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified|o__Viruses_unclassified|f__Flaviviridae|g__Pestivirus,2.15116
cNF97.2b,k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified|o__Ortervirales|f__Retroviridae|g__Alpharetrovirus,0.76041
cNF97.2b,k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified|o__Ortervirales|f__Retroviridae|g__Gammaretrovirus|s__Abelson_murine_leukemia_virus,57.41028
cNF97.2b,k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified|o__Ortervirales|f__Retroviridae|g__Gammaretrovirus|s__Murine_osteosarcoma_virus,23.81452
cNF97.2b,k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified|o__Ortervirales|f__Retroviridae|g__Retroviridae_unclassified|s__Human_endogenous_retrovirus_K,15.86363
cNF97.2b,k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified|o__Viruses_unclassified|f__Flaviviridae|g__Pestivirus|s__Pestivirus_A,0.85655
cNF97.2b,k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified|o__Viruses_unclassified|f__Flaviviridae|g__Pestivirus|s__Pestivirus_Giraffe_1,0.85634
cNF97.2b,k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified|o__Ortervirales|f__Retroviridae|g__Alpharetrovirus|s__Avian_myelocytomatosis_virus,0.76041
cNF97.2b,k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified|o__Viruses_unclassified|f__Flaviviridae|g__Pestivirus|s__Pestivirus_B,0.43827
28cNF,k__Viruses,100
28cNF,k__Viruses|p__Viruses_unclassified,100
28cNF,k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified,100
28cNF,k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified|o__Ortervirales,98.62071
28cNF,k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified|o__Viruses_unclassified,1.37929
28cNF,k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified|o__Ortervirales|f__Retroviridae,98.62071
28cNF,k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified|o__Viruses_unclassified|f__Flaviviridae,1.37929
28cNF,k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified|o__Ortervirales|f__Retroviridae|g__Gammaretrovirus,89.11139
28cNF,k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified|o__Ortervirales|f__Retroviridae|g__Retroviridae_unclassified,9.50932
28cNF,k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified|o__Viruses_unclassified|f__Flaviviridae|g__Pestivirus,1.37929
28cNF,k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified|o__Ortervirales|f__Retroviridae|g__Gammaretrovirus|s__Abelson_murine_leukemia_virus,57.9257
28cNF,k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified|o__Ortervirales|f__Retroviridae|g__Gammaretrovirus|s__Murine_osteosarcoma_virus,31.18569
28cNF,k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified|o__Ortervirales|f__Retroviridae|g__Retroviridae_unclassified|s__Human_endogenous_retrovirus_K,9.50932
28cNF,k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified|o__Viruses_unclassified|f__Flaviviridae|g__Pestivirus|s__Pestivirus_Giraffe_1,0.75832
28cNF,k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified|o__Viruses_unclassified|f__Flaviviridae|g__Pestivirus|s__Pestivirus_B,0.62097
hTERT NF1 ipNF95.11b C,k__Viruses,100
hTERT NF1 ipNF95.11b C,k__Viruses|p__Viruses_unclassified,100
hTERT NF1 ipNF95.11b C,k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified,100
hTERT NF1 ipNF95.11b C,k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified|o__Ortervirales,98.8906
hTERT NF1 ipNF95.11b C,k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified|o__Herpesvirales,0.695
hTERT NF1 ipNF95.11b C,k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified|o__Viruses_unclassified,0.4144
hTERT NF1 ipNF95.11b C,k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified|o__Ortervirales|f__Retroviridae,98.8906
hTERT NF1 ipNF95.11b C,k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified|o__Herpesvirales|f__Herpesviridae,0.695
hTERT NF1 ipNF95.11b C,k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified|o__Viruses_unclassified|f__Flaviviridae,0.4144
hTERT NF1 ipNF95.11b C,k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified|o__Ortervirales|f__Retroviridae|g__Gammaretrovirus,89.18644
hTERT NF1 ipNF95.11b C,k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified|o__Ortervirales|f__Retroviridae|g__Retroviridae_unclassified,5.51135
hTERT NF1 ipNF95.11b C,k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified|o__Ortervirales|f__Retroviridae|g__Lentivirus,4.19281
hTERT NF1 ipNF95.11b C,k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified|o__Herpesvirales|f__Herpesviridae|g__Rhadinovirus,0.695
hTERT NF1 ipNF95.11b C,k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified|o__Viruses_unclassified|f__Flaviviridae|g__Pestivirus,0.4144
hTERT NF1 ipNF95.11b C,k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified|o__Ortervirales|f__Retroviridae|g__Gammaretrovirus|s__Murine_osteosarcoma_virus,74.03304
hTERT NF1 ipNF95.11b C,k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified|o__Ortervirales|f__Retroviridae|g__Gammaretrovirus|s__Abelson_murine_leukemia_virus,15.1534
hTERT NF1 ipNF95.11b C,k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified|o__Ortervirales|f__Retroviridae|g__Retroviridae_unclassified|s__Human_endogenous_retrovirus_K,5.51135
hTERT NF1 ipNF95.11b C,k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified|o__Ortervirales|f__Retroviridae|g__Lentivirus|s__Human_immunodeficiency_virus_1,4.19281
hTERT NF1 ipNF95.11b C,k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified|o__Herpesvirales|f__Herpesviridae|g__Rhadinovirus|s__Ateline_gammaherpesvirus_3,0.695
hTERT NF1 ipNF95.11b C,k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified|o__Viruses_unclassified|f__Flaviviridae|g__Pestivirus|s__Pestivirus_Giraffe_1,0.34532
hTERT NF1 ipNF95.11b C,k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified|o__Viruses_unclassified|f__Flaviviridae|g__Pestivirus|s__Pestivirus_A,0.06908
hTERT NF1 ipNF95.6,k__Viruses,100
hTERT NF1 ipNF95.6,k__Viruses|p__Viruses_unclassified,100
hTERT NF1 ipNF95.6,k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified,100
hTERT NF1 ipNF95.6,k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified|o__Ortervirales,98.96776
hTERT NF1 ipNF95.6,k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified|o__Viruses_unclassified,1.03224
hTERT NF1 ipNF95.6,k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified|o__Ortervirales|f__Retroviridae,98.96776
hTERT NF1 ipNF95.6,k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified|o__Viruses_unclassified|f__Flaviviridae,1.03224
hTERT NF1 ipNF95.6,k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified|o__Ortervirales|f__Retroviridae|g__Gammaretrovirus,76.95342
hTERT NF1 ipNF95.6,k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified|o__Ortervirales|f__Retroviridae|g__Lentivirus,17.39172
hTERT NF1 ipNF95.6,k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified|o__Ortervirales|f__Retroviridae|g__Retroviridae_unclassified,4.62263
hTERT NF1 ipNF95.6,k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified|o__Viruses_unclassified|f__Flaviviridae|g__Pestivirus,1.03224
hTERT NF1 ipNF95.6,k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified|o__Ortervirales|f__Retroviridae|g__Gammaretrovirus|s__Abelson_murine_leukemia_virus,69.49776
hTERT NF1 ipNF95.6,k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified|o__Ortervirales|f__Retroviridae|g__Lentivirus|s__Human_immunodeficiency_virus_1,17.39172
hTERT NF1 ipNF95.6,k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified|o__Ortervirales|f__Retroviridae|g__Gammaretrovirus|s__Murine_osteosarcoma_virus,7.45566
hTERT NF1 ipNF95.6,k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified|o__Ortervirales|f__Retroviridae|g__Retroviridae_unclassified|s__Human_endogenous_retrovirus_K,4.62263
hTERT NF1 ipNF95.6,k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified|o__Viruses_unclassified|f__Flaviviridae|g__Pestivirus|s__Pestivirus_Giraffe_1,0.73726
hTERT NF1 ipNF95.6,k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified|o__Viruses_unclassified|f__Flaviviridae|g__Pestivirus|s__Pestivirus_A,0.29498
hTERT NF1 ipNF05.5,k__Viruses,100
hTERT NF1 ipNF05.5,k__Viruses|p__Viruses_unclassified,100
hTERT NF1 ipNF05.5,k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified,100
hTERT NF1 ipNF05.5,k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified|o__Ortervirales,98.50579
hTERT NF1 ipNF05.5,k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified|o__Viruses_unclassified,1.13754
hTERT NF1 ipNF05.5,k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified|o__Herpesvirales,0.35667
hTERT NF1 ipNF05.5,k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified|o__Ortervirales|f__Retroviridae,98.50579
hTERT NF1 ipNF05.5,k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified|o__Viruses_unclassified|f__Flaviviridae,1.13754
hTERT NF1 ipNF05.5,k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified|o__Herpesvirales|f__Herpesviridae,0.35667
hTERT NF1 ipNF05.5,k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified|o__Ortervirales|f__Retroviridae|g__Lentivirus,64.06018
hTERT NF1 ipNF05.5,k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified|o__Ortervirales|f__Retroviridae|g__Gammaretrovirus,29.19286
hTERT NF1 ipNF05.5,k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified|o__Ortervirales|f__Retroviridae|g__Retroviridae_unclassified,5.25275
hTERT NF1 ipNF05.5,k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified|o__Viruses_unclassified|f__Flaviviridae|g__Pestivirus,1.13754
hTERT NF1 ipNF05.5,k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified|o__Herpesvirales|f__Herpesviridae|g__Rhadinovirus,0.35667
hTERT NF1 ipNF05.5,k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified|o__Ortervirales|f__Retroviridae|g__Lentivirus|s__Human_immunodeficiency_virus_1,64.06018
hTERT NF1 ipNF05.5,k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified|o__Ortervirales|f__Retroviridae|g__Gammaretrovirus|s__Abelson_murine_leukemia_virus,19.8737
hTERT NF1 ipNF05.5,k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified|o__Ortervirales|f__Retroviridae|g__Gammaretrovirus|s__Murine_osteosarcoma_virus,9.31915
hTERT NF1 ipNF05.5,k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified|o__Ortervirales|f__Retroviridae|g__Retroviridae_unclassified|s__Human_endogenous_retrovirus_K,5.25275
hTERT NF1 ipNF05.5,k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified|o__Viruses_unclassified|f__Flaviviridae|g__Pestivirus|s__Pestivirus_Giraffe_1,0.99242
hTERT NF1 ipNF05.5,k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified|o__Herpesvirales|f__Herpesviridae|g__Rhadinovirus|s__Ateline_gammaherpesvirus_3,0.35667
hTERT NF1 ipNF05.5,k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified|o__Viruses_unclassified|f__Flaviviridae|g__Pestivirus|s__Pestivirus_B,0.14512
cNF04.9a,k__Viruses,100
cNF04.9a,k__Viruses|p__Viruses_unclassified,100
cNF04.9a,k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified,100
cNF04.9a,k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified|o__Ortervirales,97.2687
cNF04.9a,k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified|o__Viruses_unclassified,2.7313
cNF04.9a,k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified|o__Ortervirales|f__Retroviridae,97.2687
cNF04.9a,k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified|o__Viruses_unclassified|f__Flaviviridae,2.7313
cNF04.9a,k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified|o__Ortervirales|f__Retroviridae|g__Gammaretrovirus,92.47851
cNF04.9a,k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified|o__Ortervirales|f__Retroviridae|g__Retroviridae_unclassified,4.79019
cNF04.9a,k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified|o__Viruses_unclassified|f__Flaviviridae|g__Pestivirus,2.7313
cNF04.9a,k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified|o__Ortervirales|f__Retroviridae|g__Gammaretrovirus|s__Abelson_murine_leukemia_virus,60.6091
cNF04.9a,k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified|o__Ortervirales|f__Retroviridae|g__Gammaretrovirus|s__Murine_osteosarcoma_virus,31.86941
cNF04.9a,k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified|o__Ortervirales|f__Retroviridae|g__Retroviridae_unclassified|s__Human_endogenous_retrovirus_K,4.79019
cNF04.9a,k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified|o__Viruses_unclassified|f__Flaviviridae|g__Pestivirus|s__Pestivirus_Giraffe_1,2.52115
cNF04.9a,k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified|o__Viruses_unclassified|f__Flaviviridae|g__Pestivirus|s__Pestivirus_A,0.21015
icNF98.4d,k__Viruses,100
icNF98.4d,k__Viruses|p__Viruses_unclassified,100
icNF98.4d,k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified,100
icNF98.4d,k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified|o__Ortervirales,98.28226
icNF98.4d,k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified|o__Viruses_unclassified,1.71774
icNF98.4d,k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified|o__Ortervirales|f__Retroviridae,98.28226
icNF98.4d,k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified|o__Viruses_unclassified|f__Flaviviridae,1.71774
icNF98.4d,k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified|o__Ortervirales|f__Retroviridae|g__Gammaretrovirus,50.7248
icNF98.4d,k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified|o__Ortervirales|f__Retroviridae|g__Lentivirus,42.32584
icNF98.4d,k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified|o__Ortervirales|f__Retroviridae|g__Retroviridae_unclassified,4.65187
icNF98.4d,k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified|o__Viruses_unclassified|f__Flaviviridae|g__Pestivirus,1.71774
icNF98.4d,k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified|o__Ortervirales|f__Retroviridae|g__Alpharetrovirus,0.57976
icNF98.4d,k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified|o__Ortervirales|f__Retroviridae|g__Lentivirus|s__Human_immunodeficiency_virus_1,42.32584
icNF98.4d,k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified|o__Ortervirales|f__Retroviridae|g__Gammaretrovirus|s__Abelson_murine_leukemia_virus,36.14433
icNF98.4d,k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified|o__Ortervirales|f__Retroviridae|g__Gammaretrovirus|s__Murine_osteosarcoma_virus,14.58047
icNF98.4d,k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified|o__Ortervirales|f__Retroviridae|g__Retroviridae_unclassified|s__Human_endogenous_retrovirus_K,4.65187
icNF98.4d,k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified|o__Viruses_unclassified|f__Flaviviridae|g__Pestivirus|s__Pestivirus_Giraffe_1,1.3874
icNF98.4d,k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified|o__Ortervirales|f__Retroviridae|g__Alpharetrovirus|s__Avian_myelocytomatosis_virus,0.57976
icNF98.4d,k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified|o__Viruses_unclassified|f__Flaviviridae|g__Pestivirus|s__Pestivirus_B,0.16708
icNF98.4d,k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified|o__Viruses_unclassified|f__Flaviviridae|g__Pestivirus|s__Pestivirus_A,0.16326
cNF98.4c,k__Viruses,100
cNF98.4c,k__Viruses|p__Viruses_unclassified,100
cNF98.4c,k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified,100
cNF98.4c,k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified|o__Ortervirales,98.08135
cNF98.4c,k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified|o__Viruses_unclassified,1.91865
cNF98.4c,k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified|o__Ortervirales|f__Retroviridae,98.08135
cNF98.4c,k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified|o__Viruses_unclassified|f__Flaviviridae,1.91865
cNF98.4c,k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified|o__Ortervirales|f__Retroviridae|g__Gammaretrovirus,91.58095
cNF98.4c,k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified|o__Ortervirales|f__Retroviridae|g__Retroviridae_unclassified,6.50041
cNF98.4c,k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified|o__Viruses_unclassified|f__Flaviviridae|g__Pestivirus,1.91865
cNF98.4c,k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified|o__Ortervirales|f__Retroviridae|g__Gammaretrovirus|s__Abelson_murine_leukemia_virus,48.65374
cNF98.4c,k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified|o__Ortervirales|f__Retroviridae|g__Gammaretrovirus|s__Murine_osteosarcoma_virus,42.9272
cNF98.4c,k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified|o__Ortervirales|f__Retroviridae|g__Retroviridae_unclassified|s__Human_endogenous_retrovirus_K,6.50041
cNF98.4c,k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified|o__Viruses_unclassified|f__Flaviviridae|g__Pestivirus|s__Pestivirus_Giraffe_1,1.14042
cNF98.4c,k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified|o__Viruses_unclassified|f__Flaviviridae|g__Pestivirus|s__Pestivirus_B,0.77823
icNF97.2b,k__Viruses,100
icNF97.2b,k__Viruses|p__Viruses_unclassified,100
icNF97.2b,k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified,100
icNF97.2b,k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified|o__Ortervirales,99.29252
icNF97.2b,k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified|o__Viruses_unclassified,0.70748
icNF97.2b,k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified|o__Ortervirales|f__Retroviridae,99.29252
icNF97.2b,k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified|o__Viruses_unclassified|f__Flaviviridae,0.70748
